NomeCandidato;NumeroUrna;QtdSecoesVotado
ABAJUR;31013;208
ABDIAS;54186;97
ABEL FERNANDEZ;10111;1734
ABOU ANNI;43010;11760
ABRAAO DO QUEJO;12136;415
ADAILTON BARRETO;20338;210
ADALBERTO VIEIRA;13570;1532
ADAUTO GOMES ELLUS;54190;173
ADEILDE;33333;388
ADEMAR COQUEIRO;54544;245
ADEMAR DO CONSÓRCIO;27713;319
ADEMIR DA GUIA;22010;9564
ADEMIR DO VALE;65121;607
ADENIR PEREIRA;20800;16
ADILSON AMADEU;14200;11132
ADINELSON MOTA;23867;749
ADIR;13010;1378
ADO;15003;375
ADOLFO PINHEIRO (FITO);13456;1349
ADOLFO QUINTAS;45222;7580
ADONAI HADAN;23369;189
ADRIANA;44631;246
AGENOR BISTECA;27687;173
AGNALDO FARIA GUINA;23018;637
AGNALDO TIMOTEO;22122;8219
AGOSTINHO GOMES;50156;472
AGOSTINHO MEIRELES;15077;1025
AGRIPINO;12600;476
AGUINALDO TERRA;19410;144
AILTON AMARAL;50123;413
AIRTON FIO;23120;516
AIRTON LOPES;15111;4081
AKIKO AKI;50900;431
ALBERTO RIBEIRO;14666;1118
ALDA NASCIMENTO BARBARIOLI;50881;86
ALEMÃO;17111;615
ALEMÃO CINGAPURA;44800;528
ALESSANDRO AUREO;19190;276
ALESSANDRO GUEDES;13699;9098
ALEX MOTA;50222;1552
ALEX NAVARRA;10337;346
ALEX SANDRA COSTA;23025;132
ALEXANDRE LEME;16005;70
ALEXANDRE PORTO;27000;548
ALFREDINHO;13110;7512
ALICE PELIÇARIO;43034;287
ALICIO ANDRADE;19100;1192
ALINE COBRA;13156;231
ALMEIDA PORTEIRO;65652;119
ALOYSIO PASSOS;12700;1246
ALTAIR.CAVENCO;43009;1189
ALVARO CAETANO;50555;593
AMARILDO REBENTO MC S;44010;259
AMARO;54054;121
AMILTON SALOMÃO;28880;82
AMOROSO NETO;12055;35
AMÉLIA;10700;439
ANA LILIAN LOPES;55666;311
ANA MARTINS;65611;2623
ANA PAULA JUNQUEIRA;15555;4633
ANA PEREIRA;43103;177
ANA SILVIA;12181;1283
ANA TRINDADE;12999;37
ANACLETO PEREIRA;43343;205
ANDERSON DIANOSKI;10101;1355
ANDERSON DO CARMO;70270;33
ANDERSON OLIVEIRA;36023;205
ANDREA MATARAZZO;45450;17602
ANDREA PENTEADO;54149;6
ANDREA REGINA SILVA;19173;5
ANDREZINHO MACEDO;25125;809
ANDRÉ DO J. CÉLIO;50277;705
ANDRÉ FERRARINI;15100;3183
ANGELA MARIA;14333;2015
ANIBAL;45601;6010
ANINHA;27131;276
ANTONIO ANANIAS;54100;806
ANTONIO ANDRADE;27300;309
ANTONIO CARLOS RODRIGUES;22678;11395
ANTONIO MARIA;20012;572
ANTONIO NATAL;27077;121
ANTONIO OCILIO;50011;514
ARCELINO ARAÚJO;13613;835
ARI DO AGRESTE;14533;457
ARI FRIEDENBACH;23321;11636
ARMANDINHO;15500;1014
ARQ. DENIS DUCK;54333;189
ARSELINO TATTO;13696;3816
ASSIS;27190;216
ATILIO FRANCISCO;10123;12170
ATTILA RUSSOMANNO;11111;5506
AURELIO MIGUEL;22888;12429
AURÉLIO NOMURA;45451;10736
AYRTON LIMA BATISTA;12678;145
AZENIR;13300;708
BARBARA DUARTE;19600;155
BASSUMA;43197;182
BATISTA TOSTAO;19655;501
BAXINHO DOG;23900;562
BEBÊ;27023;111
BEL CHAVES;40013;248
BELIZARIO;43000;8656
BELÊ BELÊ;10555;1126
BERNARDO CERDEIRA;16008;19
BETAO DO LAVA-RAPIDO;70007;939
BETHY MORENO;70077;259
BETO CUSTÓDIO;13112;5020
BETO PASCHOAL;14024;601
BIA CRUZ;50883;26
BIGODE ARAÚJO;65111;924
BILL;50000;1205
BIRA;65765;538
BIRA BALIEIRO;31456;706
BISPA SIMONE;54777;410
BISPO CARLOS SILVA;15777;780
BISPO FERNANDO, O BAIANO;31120;155
BOLA DA RODOVIÁRIA TIETÊ;31818;419
BOMBEIRO QUEIROZ;15193;1276
BRANCO;36444;854
BRAZ PEREIRA;43144;293
BRIZOLLA;12269;156
BRUNA BABALU;50830;703
BRUNNA POTAME;23126;48
C. MARIO;19149;196
CABELO DE HELIÓPOLIS;19980;179
CACÁ;44910;197
CAIO DEZORZI;13555;2531
CAL;31555;1313
CAMILO PIRAMIDES;43198;551
CAP. MARTIN;12081;46
CAPITÃO CRUZ;70190;2008
CARLAO DO UM NOVE NOVE;43199;746
CARLITOS PASTTELLA;20914;56
CARLOS AGUIAR;23323;3053
CARLOS ALBERTO SANTOS;31333;1780
CARLOS ARAUJO;43345;243
CARLOS AUGUSTO;13153;2128
CARLOS BALADO;12008;183
CARLOS CABRAL;12222;1195
CARLOS DA C.A.S.;14440;335
CARLOS MACHADO;19999;1018
CARLOS MONTEIRO;27500;207
CARLOS TREVISAN;14077;717
CARLOS VILAR;65759;502
CARMELITA TOLEDANO;15601;47
CARMEN;44012;198
CARMEN ROCHA;14022;377
CARMINHA;43042;130
CAROLINA JABAQUARA;50889;19
CARVALHO SALES;13001;665
CASTRO;10025;452
CATI LUIZ;28866;558
CEL PAES DE LIRA;25045;2392
CELIA;23254;157
CELIA CUNHA;10453;191
CELSO JATENE;14000;16001
CESAR GORRÃO;65500;169
CHAGAS;44034;556
CHAHIN;23456;1117
CHAPINHA DO SAMBA DA VELA;65544;1719
CHARLES MAIA;44123;178
CHICO ALVES;31971;387
CHICO GRETTER;50022;484
CHICO LANG;14111;8491
CHICO MACENA;13097;8520
CHICO VALENTE;43100;1557
CHICO VICENTE;36123;449
CHIQUINHO PEREIRA;23345;3289
CICERO DE HOLANDA;27125;302
CICERO MORAES;65719;195
CICINHO NASCIMENTO;13513;363
CIDA LIMA;13510;551
CIDO DA COMUNIDADE;31500;383
CILENE OU CILENE GADELHA;16011;18
CINDRA PINHEIRO;33800;110
CINTIA FLOR;44128;219
CINTRA;33370;46
CIOMARA FALA;43014;269
CLARA ESSA É BATATA;43011;609
CLAUDETE ALVES;13777;10266
CLAUDIA VIANNA;11444;259
CLAUDIA ZIMMARO;23210;58
CLAUDINHO;45157;5426
CLAUDIO BENVINDO;50113;309
CLAUDIO CRUZ;28811;191
CLAUDIO DAL PRÁ;23411;902
CLAUDIO FONSECA;23123;11882
CLAUDIO KRATOS;65190;511
CLAUDIO PRADO;12345;11304
CLAUDIO SILVA;19500;1649
CLEBER CAMPOS;50999;390
CLEUSA BADANAI;12140;112
CLODOALDO AZEVEDO;12056;265
CLOVIS ARAUJO;15007;2340
COITÉ DO AÇOUGUE;19223;807
COMANDANTE HERMINE;21621;369
CONCEICAO VILLAS BOAS;23500;166
CONCEIÇÃO;65245;822
CONCEIÇÃO DOS SANTOS;28822;257
CONTE LOPES;14138;14508
CORONEL CAMILO;55190;13240
CORONEL QUEIROZ;43721;432
CORONEL RICARDO;15578;3370
CORONEL TELHADA;45190;20693
CORRETORA MARLENE;44314;38
CREUSA VIERA;22610;157
CREUZA;15136;50
CRISTIANE MOURA;19175;369
CRISTINA;12110;30
CRISTINA KIRSNER;43131;1009
CYBELE FRANZI;12900;363
DAGMAR FIZIO;55900;262
DAGOBERTO BRANDAO;43386;400
DALL PIPAS;50001;402
DALTON SILVANO;43888;9187
DALVA DE OLIVEIRA;10010;521
DAMIÃO VIGILANTE;17123;618
DANI SCHWERY;45300;486
DANIEL ARAUJO;65565;249
DANIEL MILA;36217;358
DANIEL MONTEIRO;23600;456
DANON;44418;737
DANONE;31011;414
DAVI MORAES;12001;141
DAVID BRANCO;70970;131
DAVID FERNANDES;25255;2836
