NomeCandidato;NumeroUrna;QtdZonasVotado
ABAJUR;31013;48
ABDIAS;54186;22
ABRAAO DO QUEJO;12136;48
ADAILTON BARRETO;20338;23
ADALBERTO VIEIRA;13570;55
ADAUTO GOMES ELLUS;54190;46
ADEMAR COQUEIRO;54544;41
ADEMAR DO CONSÓRCIO;27713;33
ADEMIR DO VALE;65121;41
ADENIR PEREIRA;20800;13
ADINELSON MOTA;23867;49
ADIR;13010;54
ADO;15003;48
ADONAI HADAN;23369;40
ADRIANA;44631;25
AGENOR BISTECA;27687;29
AGNALDO FARIA GUINA;23018;56
AGOSTINHO GOMES;50156;54
AGOSTINHO MEIRELES;15077;51
AGRIPINO;12600;55
AGUINALDO TERRA;19410;45
AIRTON FIO;23120;39
AKIKO AKI;50900;52
ALBERTO RIBEIRO;14666;56
ALDA NASCIMENTO BARBARIOLI;50881;23
ALEMÃO;17111;48
ALEMÃO CINGAPURA;44800;44
ALESSANDRO AUREO;19190;51
ALEX MOTA;50222;56
ALEX NAVARRA;10337;48
ALEX SANDRA COSTA;23025;26
ALEXANDRE LEME;16005;34
ALEXANDRE PORTO;27000;57
ALICE PELIÇARIO;43034;39
ALICIO ANDRADE;19100;57
ALINE COBRA;13156;54
ALMEIDA PORTEIRO;65652;32
ALOYSIO PASSOS;12700;51
ALTAIR.CAVENCO;43009;54
ALVARO CAETANO;50555;52
AMARILDO REBENTO MC S;44010;35
AMARO;54054;37
AMILTON SALOMÃO;28880;24
AMOROSO NETO;12055;20
ANA LILIAN LOPES;55666;45
ANA MARTINS;65611;57
ANA PEREIRA;43103;47
ANA TRINDADE;12999;32
ANACLETO PEREIRA;43343;42
ANDERSON DO CARMO;70270;13
ANDERSON OLIVEIRA;36023;28
ANDREA PENTEADO;54149;4
ANDREA REGINA SILVA;19173;4
ANDREZINHO MACEDO;25125;53
ANDRÉ DO J. CÉLIO;50277;48
ANINHA;27131;39
ANTONIO ANANIAS;54100;57
ANTONIO ANDRADE;27300;38
ANTONIO MARIA;20012;50
ANTONIO NATAL;27077;27
ANTONIO OCILIO;50011;34
ARCELINO ARAÚJO;13613;57
ARI DO AGRESTE;14533;34
ARQ. DENIS DUCK;54333;45
ASSIS;27190;20
AYRTON LIMA BATISTA;12678;33
BARBARA DUARTE;19600;27
BASSUMA;43197;53
BATISTA TOSTAO;19655;35
BAXINHO DOG;23900;52
BEBÊ;27023;23
BEL CHAVES;40013;40
BERNARDO CERDEIRA;16008;14
BETAO DO LAVA-RAPIDO;70007;48
BETHY MORENO;70077;35
BETO PASCHOAL;14024;46
BIA CRUZ;50883;20
BIGODE ARAÚJO;65111;54
BIRA;65765;42
BIRA BALIEIRO;31456;41
BISPA SIMONE;54777;41
BISPO CARLOS SILVA;15777;56
BISPO FERNANDO, O BAIANO;31120;26
BOLA DA RODOVIÁRIA TIETÊ;31818;52
